ID,Requirement,Traces from (Spec IDs),Priority,Notes,Verification activities,Validation Notes,
SYS-1,"The system shall provide a clear, responsive user interface framework that supports mode-based operation, safe inputs, and consistent operator feedback.","SPEC-001, SPEC-002, SPEC-003, SPEC-011, SPEC-016, SPEC-018, SPEC-020, SPEC-021, SPEC-022, SPEC-024",Must,Category: HMI / UI framework.,Inspection/Test: confirm UI groups controls by mode; input validation prevents invalid commands; destructive actions require confirmation; layout scales on target devices.,A new user can identify mode/state and complete basic tasks without guidance.,
SYS-2,"The system shall support teleoperation from a safe distance, allowing the operator to command end-effector targets and receive real-time feedback.","SPEC-001, SPEC-016, SPEC-020, SPEC-022",Must,Category: Teleoperation control & feedback. ,"Test: command targets via UI (XY drag, Z adjustment, speed); confirm feedback updates and commands are rate-limited/safe.",Operator can reach intended targets reliably and feels in control.,
SYS-3,"The system shall allow non-specialist users to teach tasks by recording, editing, and managing waypoint-based routines (subroutines) without code changes.","SPEC-002, SPEC-009, SPEC-014, SPEC-016, SPEC-018, SPEC-020, SPEC-027, SPEC-028",Must,Category: Teach mode & routine authoring. ,Test: record waypoints (pose+dwell); edit/reorder/rename; save/load routines; confirm deterministic content and consistent naming/colour mapping.,User can teach and replay a routine within ~1 hour onboarding.,
SYS-4,"The system shall execute taught routines autonomously via a playback/timeline engine with safe start/stop controls, progress indication, and fault stop behaviour.","SPEC-001, SPEC-002, SPEC-014, SPEC-016, SPEC-018, SPEC-020, SPEC-021, SPEC-022, SPEC-024",Must,Category: Playback / autonomous execution. ,"Test: build timeline; start/pause/resume/cancel; verify sequential execution, progress UI, and stop on fault/E-stop.","Demonstrate 'teach once, run repeatedly' with minimal operator intervention.",
SYS-5,"The system shall enforce safety measures including homing/safe pose, workspace/joint limits, and fault handling to prevent unsafe motion.","SPEC-016, SPEC-017, SPEC-021, SPEC-022",Must,"Category: Safety, limits & fault handling. ",Test: limits reject out-of-bounds; home moves to safe pose; faults halt playback and require reset/acknowledge.,Demonstrate safe behaviour under misuse and fault scenarios.,
SYS-6,"The system shall compute kinematics (IK/FK) and generate stable motion commands (jogging, smoothing, rate limits) to achieve commanded targets consistently.","SPEC-001, SPEC-007, SPEC-016, SPEC-018, SPEC-021",Must,Category: Motion & kinematics. ,Analysis/Test: validate IK/FK on known points; jogging respects limits; smoothing prevents abrupt steps; commands remain within servo ranges.,Motion appears stable and repeatable to observers.,
SYS-7,"The system shall persist configuration, routines, and timelines in human-readable, versioned formats and reload them deterministically on startup.","SPEC-001, SPEC-002, SPEC-006, SPEC-019, SPEC-020, SPEC-021, SPEC-023, SPEC-024, SPEC-027",Must,Category: Persistence & configuration. ,Test: config directory created; JSON schema_version/timestamps present; load/save round-trip maintains behaviour; archives export correctly where required.,"Users can back up, share, and restore configurations/routines reliably.",
SYS-8,The system shall provide clear state/configuration/error signalling via UI and LED outputs using a defined legend,"SPEC-003, SPEC-004, SPEC-005, SPEC-010, SPEC-025",Must,Category: Status indication (LED/UI). ,Test: set logical states (ready/running/teach/fault) updates LEDs; LED failures do not crash core control; legend documented.,Operator can interpret status correctly at a glance.,
SYS-9,"The system shall support end-effector actions (e.g., gripper open/close) and associated I/O/channel control integrated into waypoint routines.","SPEC-002, SPEC-014, SPEC-018, SPEC-024",Must,Category: End-effector & I/O control. ,Test: add gripper actions to waypoints; playback actuates correct channel; configuration supports tool offsets where applicable.,End-effector actions occur at correct steps during execution.,
SYS-10,"The system shall be testable and reproducible, providing dry-run/simulation options where applicable and maintaining controlled dependencies for build/execute.","SPEC-009, SPEC-014, SPEC-015",Must,Category: Testability & toolchain governance. ,Inspection/Test: pinned dependencies file present; basic self-test/unit tests exist for critical modules; dry-run does not actuate motors.,Team can reproduce setup on a new machine without ad-hoc fixes.,
