ID,Requirement,Traces from (System IDs),Priority,Notes,Verification activities,Validation Notes
SUB-1,The UI shall group controls by mode (Teleop/Teach/Playback) and hide irrelevant controls when not active.,SYS-4,Should,Category: UI layout. Source: index.html UI concepts.,Inspection: switch mode; verify only relevant controls visible.,
SUB-2,The mode selector shall be accessible with one click and display current mode prominently.,SYS-1,Should,Category: UI interaction.,Test: change mode updates banner.,
SUB-5,The UI shall validate numeric inputs and show inline errors without crashing.,SYS-1,Must,Category: Input validation.,Test: enter invalid value; error shown; no motion.,
SUB-6,Teleop view shall allow dragging a target marker in the XY plane with cursor feedback.,SYS-2,Should,Category: Teleop input.,Test: drag moves marker smoothly.,
SUB-7,Teleop view shall allow adjusting Z via wheel and slider with configurable step size.,SYS-7,Should,Category: Teleop Z.,Test: wheel increments by configured step.,
SUB-8,The UI shall provide a speed scaling control with numeric readout.,SYS-1,Should,Category: Speed UI.,Test: adjust changes speed multiplier used.,
SUB-9,The UI shall provide a prominent Stop button that remains visible in all modes.,SYS-5,Must,Category: Stop UI.,Test: stop visible and halts motion in teleop and playback.,
SUB-10,The UI shall provide an Emergency Stop control and show E-stop latched state.,SYS-5,Must,Category: E-stop UI.,Test: E-stop latches until reset procedure.,
SUB-11,The UI shall provide a Home button and show when home is in progress/completed.,SYS-1,Must,Category: Home UI.,Test: home button disabled during home motion.,
SUB-12,The UI shall show joint angles and/or PWM values in a diagnostics pane.,SYS-6,Should,Category: Diagnostics UI.,Test: values update during motion.,
SUB-14,The UI shall include a routine list with create/rename/delete actions.,SYS-3,Must,Category: Routine management.,Test: create/rename/delete works and persists.,
SUB-15,"The UI shall prevent destructive actions without confirmation (delete routine, reset config).",SYS-7,Should,Category: Confirmation UX.,Test: confirm dialog appears.,
SUB-17,Teach mode shall show a waypoint list with add/edit/remove controls.,SYS-3,Must,Category: Teach UI.,Test: can add and remove waypoints.,
SUB-18,Waypoint editor shall allow inline editing of dwell time and validate ranges.,SYS-3,Must,Category: Waypoint edit.,Test: invalid dwell rejected.,
SUB-19,Waypoint list shall support reordering via buttons or drag and drop.,SYS-3,Should,Category: Waypoint reorder.,Test: reorder changes playback order.,
SUB-21,Waypoint names with identical text shall share a consistent colour tag in the UI.,SYS-3,Could,Category: UX (from prompt log).,Test: same name -> same colour; persisted across sessions.,
SUB-22,The UI shall allow grouping waypoints into named subroutines.,SYS-3,Should,Category: Subroutines.,Test: group and save subroutine.,
SUB-23,Playback mode shall show a timeline list of subroutines/dwell items.,SYS-4,Must,Category: Timeline UI.,Test: timeline list displayed and editable.,
SUB-24,Timeline editor shall support add/reorder/delete items.,SYS-4,Must,Category: Timeline edit.,Test: modifications persist.,
SUB-25,"Playback controls shall include Start, Pause, Resume, and Cancel.",SYS-4,Should,Category: Playback controls.,Test: pause/resume/cancel behave correctly.,
SUB-26,"Playback view shall show progress (current step, total steps).",SYS-4,Should,Category: Playback progress.,Test: progress updates during run.,
